All,Todos
"We can't contact the PayPal gateway.","Não foi possível conectar com o gateway do PayPal."
"The ordering amount of %1 is pending approval on the payment gateway.","O montante de %1 está com aprovação pendente no gateway de pagamentos."
"Ordered amount of %1","Valor da encomenda de %1"
"Matched whole nine-didgit ZIP (no Address)","Correspondência do código postal de 9 dígitos (sem Morada)"
"Yes. Matched Address and five-didgit ZIP","Sim. Morada e código postal correspondido"
"Invalid method %1::%2(%3)","Método inválido %1::%2(%3)"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","Para usar o PayPal Payments Advance, deve configurar sua conta de pagamentos PayPal Payments Advance no site do PayPal."
"PayPal Payment Gateways","Gateways de Pagamento PayPal"
"PayPal Payment Solutions","Soluções de Pagamento PayPal"
"Email Associated with PayPal Merchant Account","Email Associado com a Conta de Comerciante PayPal"
"Sandbox Credentials","Credenciais Sandbox"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","É recomendado definir este valor para ""Magento_PayPal"" por vista de loja."
"Payments Advanced (Includes Express Checkout)","Pagamentos Avançados (Inclui Checkout Express)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Aceite pagamentos com um checkout segundo a norma PCI que mantenha os clientes no seu site."
"Payflow Link (Includes Express Checkout)","Link Payflow (Inclui Checkout Express)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Ligue a sua conta de comerciante com um gateway compatível com a norma PCI que permita aos clientes pagar sem deixar o seu site."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Aceite pagamentos com um checkout segundo a norma PCI que mantenha os clientes no seu site."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Ligue a sua conta de comerciante com um gateway completamente personalizável que permita aos clientes pagar sem sair do seu site."
"International AVS Indicator Does Not Match","O Indicador Internacional AVS Não Coincide"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Inclui Checkout Express)"
"Not you?","Não é você?"
"Your shopping cart has been updated with new prices.","O seu carrinho de compras foi atualizado com novos preços."
"Welcome, %1!","Bem-vindo(a), %1!"
"We cannot load the configuration from file %1.","Não conseguimos carregar a configuração do ficheiro %1."
"Method ""%1"" is not defined in ""%2""","O método ""%1"" não está definido em ""%2"""
"To check out, please sign in using your email address.","Para efetuar o checkout, por favor inicie sessão com o seu endereço de email."
"Remember Me","Ligação Automática"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Marque a opção &quot;Ligação Automática&quot; para aceder ao seu carrinho de compras neste computador, mesmo que não tenha iniciado sessão."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Marque ""Lembrar-me"" para aceder ao seu carrinho de compras neste computador, mesmo que não tenha a sessão iniciada."
"Persistent Shopping Cart","Carrinho de Compras Persistente"
"Enable Persistence","Activar Persistência"
"Persistence Lifetime (seconds)","Tempo de Persistência (segundos)"
"Enable ""Remember Me""","Ativar ""Ligação Automática"""
"""Remember Me"" Default Value","Valor Pré-definido de ""Ligação Automática"""
"Clear Persistence on Sign Out","Limpar Persistência ao Terminar Sessão"
"Persist Shopping Cart","Persistir Carrinho de Compras"
"Persist Wish List","Persistir Lista de Desejos"
"Persist Recently Ordered Items","Persistir Itens Encomendados Recentemente"
"Persist Currently Compared Products","Persistir Produtos Atualmente em Comparação"
"Persist Comparison History","Persistir Histórico de Comparação"
"Persist Recently Viewed Products","Persistir Produtos Visualizados Recentemente"
"Persist Customer Group Membership and Segmentation","Persistir a Associação e Segmentação de Grupos de Cliente"
"Read Product Price","Ler o Preço do Produto"
"Edit Product Price","Editar o Preço do Produto"
"Edit Product Status","Editar o Status do produto"
"Default Product Price","Preço Padrão do Produto"
"Defines the default product price","Define o preço padrão do produto"
"You saved the alert subscription.","Gravou a subscrição de alerta."
"There are not enough parameters.","Não existem parâmetros suficientes."
"We can't update the alert subscription right now.","Não é possível actualizar o alerta de subscrição de momento."
"Alert subscription has been saved.","A subscrição de alerta foi gravada."
"You deleted the alert subscription.","Eliminou a subscrição de alerta."
"You will no longer receive price alerts for this product.","Você não receberá mais alertas de preço para este produto."
"Unable to update the alert subscription.","Não foi possível atualizar a subscrição de alerta."
"You will no longer receive stock alerts for this product.","Irá deixar de receber alertas de stock para este produto."
"The product was not found.","O produto não foi encontrado."
"You will no longer receive stock alerts.","Irá deixar de receber alertas de stock."
"Invalid block type: %1","Tipo de bloco inválido: %1"
"Price change alert! We wanted you to know that prices have changed for these products:","Alerta de alteração de preço! Queremos que saiba que os preços foram alterados para estes produtos:"
Price:,Preço:
"Click here to stop alerts for this product.","Clique aqui para parar os alertas para este produto."
"Unsubscribe from all price alerts","Remover todas as subscrições de alertas de preço"
"In stock alert! We wanted you to know that these products are now available:","Alerta de stock! Queremos que saiba que estes produtos estão disponíveis:"
"Unsubscribe from all stock alerts","Remover todas as subscrições de alertas de stock"
"Product alerts Cron error","Alertas de produto Cron error"
"Product alerts cron warnings","Avisos de cron de alertas de produto"
"Products price changed alert","Alerta para preço dos produtos alterado"
"Products back in stock alert","Alerta para produtos em stock"
"Allow Alert When Product Price Changes","Mostrar Alerta Quando o Preço do Produto Alterar"
"Allow Alert When Product Comes Back in Stock","Permitir Alerta Quando o Produto Regressa ao Stock"
"Price Alert Email Template","Template de Email de Alerta de Preço"
"Stock Alert Email Template","Template de Email de Alerta de Stock"
"Alert Email Sender","Remetente de Email de Alerta"
"Product Alerts Run Settings","Definições de Execução de Alerta de Produtos"
"Notify me when the price drops","Receber notificações de baixa de preço"
"Notify me when this product is in stock","Notificar-me quando este produto se encontrar em stock"
"Sign up for price alert","Registar para alerta de preço"
"Sign up to be notified when this product is back in stock.","Registe-se para ser notificado quando este produto estive de volta em stock."
Url,URL
"Preview Image","Imagem de pré-visualização"
"Get Video Information","Obter informações de vídeo"
"YouTube and Vimeo supported.","YouTube e Vimeo suportados."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","É suportado o serviço Vimeo.<br />Para adicionar um vídeo do YouTube, por favor <a href=""%1""> Insira primeiro a chave de API do YouTube</a>."
"Protocol isn't allowed","Protocolo não é permitido"
"Could not get preview image information. Please check your connection and try again.","Não foi possível obter a informação da imagem de pré-visualização. Por favor verifique a sua ligação e tente novamente."
"Add Video","Adicionar vídeo"
"Delete video","Excluir vídeo"
Title:,Título:
Uploaded:,Carregado:
Uploader:,"Autor do Carregamento:"
Duration:,Duração:
"Video Error","Erro de Vídeo"
"Unknown video type","Tipo de vídeo desconhecido"
"Invalid video url","Url de vídeo inválido"
"Youtube API key is invalid","Chave da API do YouTube é inválida"
"Video cant be shown due to the following reason: ","Vídeo não pode ser mostrado devido à seguinte razão: "
"Video not found","Vídeo não encontrado"
"New Video","Novo vídeo"
"Edit Video","Editar Vídeo"
"Product Video","Vídeo do Produto"
"YouTube API Key","Chave API do Youtube"
"Autostart base video","Iniciar automáticamente o vídeo base"
"Show related video","Mostrar vídeos relacionados"
"Auto restart video","Reiniciar vídeo automáticamente"
"Images And Videos","Imagens e Vídeos"
"Click here to add videos.","Clique aqui para adicionar vídeos."
"Add video","Adicionar vídeo"
"Edit Catalog Price Rules","Editar as Regras de Preço de Catálogo"
"Edit Cart Price Rules","Editar Regras de Preço de Carrinho"
"Edit Automated Email Reminder Rules","Editar Regras de Alertas por Email Automatizados"
"Unable to save address. Please check input data.","Não foi possível gravar a morada. Por favor verifique os dados que introduziu."
"Could not apply coupon code","Não foi possível aplicar o código do cupão"
"Coupon code is not valid","O código do Cupão não é válido"
"Could not delete coupon code","Não foi possível excluir o código do cupão"
"Cannot assign customer to the given cart. You don't have permission for this operation.","Não é possível atribuir o cliente ao carrinho indicado. Não tem permissão para esta operação."
"This is the wrong quote item id to update configuration.","Este id do item do orçamento para atualizar a configuração está errado."
"This shipping method is not available. To use this shipping method, please contact us.","Este método de envio não está disponível. Para usar este método de envio, entre em contacto connosco."
"The address model is not defined.","O modelo da morada não está definido."
"The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","O modelo total da morada deve estender de
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal."
"Shipping & Handling (%1)","Transporte e Processamento (%1)"
"We found an invalid item option format.","Encontrámos um formato de opção de item inválido."
"Item qty declaration error","Erro de declaração de qtd de item"
"Some of the products below do not have all the required options.","Alguns dos produtos abaixo não têm todas as opções necessárias."
"Something went wrong during the item options declaration.","Algo correu mal durante a declaração das opções do item."
"We found an item options declaration error.","Encontrámos um erro de declaração das opções do item."
"Some of the selected options are not currently available.","Algumas das opções selecionadas não estão disponíveis de momento."
"Selected option(s) or their combination is not currently available.","As opções selecionadas ou a sua combinação não está disponível de momento."
"Some item options or their combination are not currently available.","Algumas opções de itens ou a sua combinação não estão disponíveis de momento."
"Cart %1 does not contain item %2","O carrinho %1 não contém o item %2"
"Could not save quote","Não foi possível gravar o orçamento"
"Cart %1 doesn't contain item  %2","O carrinho %1 não contém o item %2"
"Could not remove item from quote","Não foi possível remover um item do orçamento"
"The qty value is required to update quote item.","O valor da qtd é necessário para atualizar o item do orçamento."
"Invalid customer id %1","Id de cliente inválido %1"
"Invalid address id %1","Id da morada inválido %1"
"Invalid customer address id %1","Id do endereço de cliente inválido %1"
"Cannot create quote","Não foi possível criar o orçamento"
"Cannot assign customer to the given cart. The cart belongs to different store.","Não foi possível associar o cliente ao carrinho especificado. O carrinho pertence a uma loja diferente."
"Cannot assign customer to the given cart. The cart is not anonymous.","Não foi possível associar o cliente ao carrinho. O carrinho não é anónimo."
"Cannot assign customer to the given cart. Customer already has active cart.","Não foi possível associar o cliente ao carrinho especificado. O cliente já tem um carrinho ativo."
"Only 1 shipping assignment can be set","Apenas 1 transportadora pode ser definida"
"This item price or quantity is not valid for checkout.","Este preço do item ou quantidade não é válido para efetuar o checkout."
"Please check the shipping address information. %1","Por favor verifique a informação da morada de envio. %1"
"Please check the billing address information. %1","Por favor verifique a informação da morada de faturamento. %1"
"Please select a valid payment method.","Por favor selecione um método de pagamento válido."
"Shipping address not set.","Morada de envio não definida."
"Cannot set shipping method. %1","Não foi possível definir o método de envio. %1"
"Cart contains virtual product(s) only. Shipping method is not applicable.","O carrinho contém apenas produtos virtuais. O modo de envio não se aplica."
Carts,Carrinhos
"Manage carts","Gerir Carrinhos"
error123,erro123
"What’s new with Magento 2.2.4","O que há de novo com Magento 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
<p>Magento 2.2.4 fornece novas ferramentas poderosas para ajudar a reduzir o abandono do carrinho e simplificar as operações da loja:</p>
<br />
<div class=""trusted-payments-highlight"">
<h3>Opções de Pagamento Confiável</h3>
<p>Os seus compradores pode facilmente comprar Online de forma familiarizada com o confiavel Amazon Pay.</p>
</div>
<div class=""flexible-payments-highlight"">
<h3>Termos de Pagamento Flexíve</h3>
<p>Aumentar as vendas, fornecendo aos clientes a flexibilidade de pagar agora, mais tarde, ou em prestações usando Klarna&#8217;s integrado nas opções de pagamento.</p>
</div>
<div class=""tax-automation-highlight"">
<h3>Vendas e Automatização de Taxas Ficais</h3>
<p>Comerciantes podem agora automaticamente executar cálculos de imposto de forma instantânea e precisa sobre os itens a vender no carrinho de compras com Vertex Cloud.</p>
</div>
<p>Para saber mais, consulte <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> e <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">> Magento User Guide</a>.</p>                        "
"Trusted Payment Options","Opções de pagamento confiável"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<p> Com <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank""> Amazon Pay </a>, simplificamos para que as centenas de milhões de clientes da Amazon em todo o mundo acedam e comprem facilmente na sua loja usando informações já armazenadas na sua conta da Amazon. Com uma fácil configuração no Magento 2.2.4, o Amazon Pay oferece aos seus clientes uma experiência de compra confiável e familiar. Em apenas alguns toques, podem concluir a transação sem sair do site. </p>
                        <ul>
                        <li> <span> Seus clientes usam um login familiar para se identificar e transacionar em qualquer lugar onde o Amazon Pay é oferecido. </span> </li>
                        <li> <span>A experiência Checkout é coberta pela Garantia Amazon A-to-z sem nenhum custo adicional.</span> </li>
                        <li> <span>Criado a partir de anos de inovação do Amazon eCommerce e reconhecido por comerciantes e compradores como confiável. </span> </li>
                        <li> <span> Disponível em todas as plataformas e dispositivos, em casa e em trânsito. </span> </li>
                        </ul>                        "
"Flexible Payment Terms","Condições de pagamento flexíveis"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","
<p> Com o <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduza o stress na compra e melhore as experiências de compra com várias opções de financiamento e pagamento direto que são facilmente integradas forma de compra existente. Os compradores podem optar por pagar agora com pagamento on-line ou débito direto, pagar posteriormente por fatura ou pagar parceladamente. </p> <ul> <li> <span> Os clientes nunca saem do site e desfrutam de uma experiência de compra mais tranquila.</span> </li> <li> <span> O processo de inscrição fácil com a capacidade de pagar ao longo do tempo aumenta o valor médio dos pedidos e as taxas de conversão.</span></li> <li> <span> Assume todo o risco de crédito e de fraude garantindo que você é pago pelos produtos pedidos.</span></li> <li> <span>Preparado para todos os dispositivos, permitindo que os compradores usem sua conta do Klarna em qualquer comerciante Klarna com apenas alguns cliques. </span></li> <li> <span>Rápida e fácil configuração, diretamente no Magento Admin.</span></li></ul>                        "
"Sales and Use Tax Automation","Vendas e automatização do imposto em uso"
"
                        <p><a href=""http://docs.magento.com/m2/ce/user_guide/tax/vertex.html"" target=""_blank"">Vertex Cloud</a> combines sophisticated software with an exceptional team of tax experts to help Magento merchants simplify the sales tax process, and comply with ever-changing tax laws. Merchants can easily access and configure Vertex Cloud from the Magento Admin to meet complex tax challenges.</p>
                        <ul>
                        <li><span>Seamless integration with award-winning support for simple-to-complex tax needs.</span></li>
                        <li><span>Automatically comply with the latest tax rules for each product and every jurisdiction.</span></li>
                        <li><span>Perform tax calculations and generate signature-ready PDF returns in one solution.</span></li>
                        <li><span>No penalty to merchants for tax estimates from abandoned carts.</span></li>
                        <li><span>Flexible deployment options fit the needs of your organization in the cloud, or on premises.</span></li>
                        </ul>
                        ","
<p><a href=""http://docs.magento.com/m2/ce/user_guide/tax/vertex.html"" target=""_blank""> A Vertex Cloud </a> combina software sofisticado com uma equipe excepcional de especialistas em impostos para ajudar os comerciantes Magento a simplificar o processo de impostos sobre vendas e cumprir as leis tributárias em constante mudança. Os comerciantes podem acedder e configurar facilmente o Vertex Cloud a partir do Magento Admin para atender aos complexos desafios fiscais. </p><ul><li><span>Integração perfeita com suporte premiado para necessidades tributárias simples e complexas.</span ></li><li><span>Cumpra as regras fiscais mais recentes para cada produto e jurisdição de forma automática.</span></li><li><span>Permite a realização do cálculos de impostos e geração de PDF de retorno prontos para assinatura como uma solução.</span></li><li><span>Nenhuma penalidade para os comerciantes por estimativas de impostos de carrinhos abandonados.</span></li><li><span>As opções de implantação flexíveis atendem às necessidades do seu organização na nuvem ou nas instalações.</span></li></ul>                        "
"What's new with Magento 2.2.2","O que há de novo com Magento 2.2.2"
"
                        <p>Magento 2.2.2 offers advanced new features, including:</p>
                        <br />
                        <div class=""analytics-highlight"">
                        <h3>Advanced Reporting</h3>
                        <p>Gain valuable insights through a dynamic suite of product, order, and customer reports,
                        powered by Magento Business Intelligence.</p>
                        </div>
                        <div class=""instant-purchase-highlight"">
                        <h3>Instant Purchase</h3>
                        <p>Simplify ordering and boost conversion rates by allowing your customers to use stored
                        payment and shipping information to skip tedious checkout steps.</p>
                        </div>
                        <div class=""email-marketing-highlight"">
                        <h3>Email Marketing Automation</h3>
                        <p>Send smarter, faster email campaigns with marketing automation from dotmailer, powered by
                        your Magento store's live data.</p>
                        </div>
                        <p>Release notes and additional details can be found at
                        <a href=""http://devdocs.magento.com/"" target=""_blank"">Magento DevDocs</a>.
                        </p>
                        ","
 <p>Magento 2.2.2 oferece novos recursos avançados, incluindo:</p>
 <br />
<div class=""analytics-highlight"">
<h3>Advanced Reporting</h3>
<p>Obtenha informações valiosas por meio de um conjunto dinâmico de relatórios sobre produtos, pedidos de compras e clientes, suportado pelo Magento Business Intelligence.</p>
 </div>
<div class=""instant-purchase-highlight"">
<h3>Compras imediatas</h3>
<p>Simplifique os pedidos e aumente as taxas de conversão, permitindo que seus clientes usem as informações de pagamento e envio armazenadas para pular etapas de check-out nonotonas. </p>
</div>
<div class=""email-marketing-highlight"">
<h3>Automatização de Email Marketing</h3>
<p>Envie campanhas de e-mail inteligentes e mais rápidas com automação de marketing do dotmailer, com base nos dados em tempo real da sua loja Magento.</p> </div>
<p>Notas de lançamento e detalhes adicionais podem ser encontrados no <a href=""http://devdocs.magento.com/"" target=""_blank"">Magento DevDocs</a>.</p>                        "
"<p>Advanced Reporting
                        provides you with a dynamic suite of reports with rich insights about the health of your
                        business.</p><br /><p>As part of the Advanced Reporting service, we may also use your customer
                        data for such purposes as benchmarking, improving our products and services, and providing you
                        with new and improved analytics.</p><br /><p>By using Magento 2.2.2, you agree to the Advanced
                        Reporting <a href=""https://magento.com/legal/terms/privacy"" target=""_blank"">Privacy Policy</a>
                        and <a href=""https://magento.com/legal/terms/cloud-terms"" target=""_blank"">Terms
                        of Service</a>. You may opt out at any time from the Stores Configuration page.</p>
                        ","<p> Relatórios avançados fornece um conjunto dinâmico de relatórios com informações detalhadas sobre a integridade do seu negócios.</p><br />
<p>Como parte do serviço Advanced Reporting, também podemos usar dados dos seus cliente para fins de benchmarking, melhoria de nossos produtos e serviços e fornecimento de análises novas e aprimoradas.</p><br />
<p>Usando o Magento 2.2.2, você concorda com o Termos da <a href=""https://magento.com/legal/terms/privacy"" target=""_blank""> Política de Privacidade </a>
 assim como os <a href=""https://magento.com/legal/terms/cloud-terms"" target=""_blank""> Termos
 de serviço</a>. Você pode optar por sair a qualquer momento na página ""Configuração de Lojas"".</p>                        "
"
                        <p>Now you can deliver an Amazon-like experience with a new, streamlined checkout option.
                        Logged-in customers can use previously-stored payment credentials and shipping information
                        to skip steps, making the process faster and easier, especially for mobile shoppers. Key
                        features include:
                        </p>
                        <ul>
                        <li><span>Configurable “Instant Purchase” button to place orders.</span></li>
                        <li><span>Support for all payment solutions using Braintree Vault, including Braintree Credit
                        Card, Braintree PayPal, and PayPal Payflow Pro.</span></li>
                        <li><span>Shipping to the customer’s default address using the lowest cost, available shipping
                        method.</span></li>
                        <li><span>Ability for developers to customize the Instant Purchase business logic to meet
                        merchant needs.</span></li>
                        </ul>
                        ","
<p> Agora, você pode oferecer uma experiência semelhante à da Amazon com uma nova opção simplificada de check-out. Os clientes registrados podem usar credenciais de pagamento e informações de envio armazenadas anteriormente para saltar etapas, tornando o processo mais rápido e fácil, especialmente para compradores em dispositivos móveis. Os principais recursos incluem:</p>
<ul><li><span>Botão ""Instant Purchase"" configurável para fazer pedidos.</span></li>
<li><span>Suporte para todas as soluções de pagamento usando o Braintree Vault, incluindo o Braintree Credit Card, o Braintree PayPal e o PayPal Payflow Pro.</span></li>
<li><span>Envio para o endereço padrão do cliente usando o método de envio mais barato e disponível.</span></li><li> <span>Capacidade de os desenvolvedores personalizarem a lógica comercial de compra instantânea para atender às necessidades dos comerciantes.</span></li></ul>                        "
"Email Marketing Automation","Automação de Email Marketing"
"
                        <p>Unlock an unparalleled level of insight and control of your eCommerce marketing with
                        dotmailer Email Marketing Automation. Included with Magento 2.2.2 for easy set-up, dotmailer
                        ensures every customer’s journey is captured, segmented, and personalized, enabling you to
                        deliver customer-centric campaigns that beat your results over and over again. Benefits include:
                        </p>
                        <ul>
                        <li><span>No obligation 14-day trial.</span></li>
                        <li><span>Automation campaigns using your live Magento store data that drive revenue,
                        including abandoned cart, abandoned browse, product replenishment, and many more.</span></li>
                        <li><span>Built-in solution for transactional emails.</span></li>
                        <li><span>Telephone support and advice from marketing experts included.</span></li>
                        </ul>
                        ","
<p>Desbloqueie um nível incomparável de percepção e controle do seu marketing de comércio eletrônico com o dotmailer Email Marketing Automation. Incluído no Magento 2.2.2 para fácil configuração, o dotmailer garante que percurso de cada cliente seja capturada, segmentada e personalizada, permitindo que você ofereça campanhas centradas no cliente que melhoram os seus resultados repetidas vezes. Os benefícios incluem:</p>
<ul><li><span>Sem compromisso por 14 dias.</span></li>
<li><span>Campanhas de automação que usam seus dados da loja do Magento em temo real que geram receita, incluindo carrinho abandonado, navegação abandonada, reposiçãoo de produtos e muito mais.</span></li>
<li><span>Solução integrada para emails transacionais.</span> </li>
<li><span>Suporte telefonico e aconselhamento de especialistas em marketing incluídos.</span></li></ul>                        "
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","Esta regra está atribuída a %1 lembrete(s) de regra automatizados. Excluir esta regra causa a desatribuição automaticamente."
"Automated Email Marketing Reminder Rules","Regras de Lembrete de Marketing Automático por Email"
"Are you sure you want to match this rule now?","Tem a certeza que pretende corresponder esta regra agora?"
"No more than %1 customers may receive the reminder email after this action.","Não mais do que %1 clientes poderão receber um email de lembrete depois desta ação."
"Run Now","Executar Agora"
"Email Reminder Rule","Regra de Lembrete de Email"
"You need to set at least one condition for this rule to work.","É preciso definir pelo menos uma condição para esta regra funcionar."
"Matched At","Correspondido A"
"Thread Active","Thread Ativo"
Coupon,Cupão
"Coupon Use Limit","Limite de Uso do Cupão"
"Coupon Use Per Customer","Usos do Cupão Por Utilizador"
"Emails Sent","E-mails Enviados"
"Emails Failed","Emails Falhados"
"Last Sent","Enviado Pela Última Vez"
"Reminder emails may promote a cart price rule with or without a coupon. If a cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Os emails de lembretes podem promover uma regra de preço de carrinho com ou sem um cupão. Se uma regra de preço de carrinho definir um cupão gerado automaticamente, esta regra de lembrete irá gerar um código de cupão aleatório para cada cliente."
"Cart Price Rule","Regra de Preço do Carrinho"
"Promotion rule this reminder will advertise.","Regra de promoção que este lembrete irá anunciar."
"Repeat Schedule","Repetir Agenda"
"Enter the number of days until the email reminder rule is retriggered if conditions still match (Ex: Enter ""7, 14"" to trigger emails in 7 days, and then 14 days after that).","Insira o número de dias até que a regra de lembrete seja acionada de novo se as condições ainda se mantiverem (Ex: Insira ""7, 14"" para acionar emails no 7º e no 14º dia depois da saída do cliente)."
"Select Rule...","Selecione uma Regra..."
"Only customers who have an account for a store view will receive emails related to that store view.","Apenas os clientes que têm uma conta para uma vista de loja irão receber emails relacionados com essa vista de loja."
"Default Titles and Description","Títulos e Descrição Pré-definida"
"You can find and edit rule label and descriptions, per store view, in email templates.","Pode encontrar e editar a etiqueta da regra e as descrições, por loja de vista, nos templates de email."
"Rule Title for All Store Views","Título da Regra para Todas as Vistas da Loja"
"Rule Description for All Store Views","Descrição da Regra para Todas as Vistas da Loja"
"Titles and Descriptions Per Store View","Títulos e Descrições Por Vista de Loja"
"Overrides default titles and descriptions. Note that if an email template is not specified for this store view, the respective variable values will be deleted.","Sobrepõe os títulos e descrições pré-definidas. Note que se não for especificado um template de email para esta vista de loja, os valores das respetivas variáveis serão eliminados."
"Emails and Labels","Etiquetas e Emails"
"Matched Customers","Clientes Correspondidos"
"Please correct the reminder rule you requested.","Por favor corrija a regra de lembrete que solicitou."
"You deleted the reminder rule.","Eliminou a regra do lembrete."
"We can't delete the reminder rule right now.","De momento não conseguimos eliminar a regra do lembrete."
"Reminder Rules","Regras de Lembrete"
"Email Reminders","Lembretes de Email"
"New Reminder Rule","Nova Regra de Lembrete"
"You matched the reminder rule.","Correspondeu a regra do lembrete."
"Reminder rule matching error.","Erro de correspondência da regra do lembrete."
"You saved the reminder rule.","Gravou a regra do lembrete."
"We could not save the reminder rule.","Não conseguimos gravar a regra do lembrete."
"Minute Intervals","Intervalos de Minutos"
Hourly,"De hora a hora"
"5 minutes","5 minutos"
"10 minutes","10 minutos"
"15 minutes","15 minutos"
"20 minutes","20 minutos"
"30 minutes","30 minutos"
for,para
"for greater than","para maior que"
"for or greater than","para ou superior a"
"Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:","O carrinho de compras não está vazio e foi abandonado %1 %2 dias e %3 destas condições são verdadeiras:"
"The root shopping cart condition should have a days value of 0 or greater.","A condição do carrinho de compras raiz deve ter um valor de dias maior ou igual a 0."
"Total Amount","Montante Total"
"grand total","valor final"
"Shopping cart %1 amount %2 %3:","Carrinho de compras %1 quantidade %2 %3:"
"Unknown quote total specified","O total do orçamento especificado é desconhecido"
"Numeric Attribute","Atributo Numérico"
weight,peso
"row weight","peso da linha"
quantity,quantidade
"base price","preço base"
"base cost","custo base"
"Item %1 %2 %3:","Artigo %1 %2 %3:"
"Unknown attribute specified","O atributo especificado é desconhecido"
"Items Subselection","Sub-seleção de Itens"
"Coupon Code","Código do Cupão"
"Shopping cart %1 a coupon applied","O carrinho de compras %1 um cupão aplicado"
"Cart Line Items","Itens da Linha do Carrinho"
"Number of shopping cart line items %1 %2:","Número de itens na linha do carrinho de compras %1 %2:"
"Item SKU %1 %2 ","REF do Item %1 %2 "
"The item was added to shopping cart %1, store view %2.","O item foi adicionado ao carrinho de compras %1, vista de loja %2."
"not from","não é de"
"If an item is %1 in the shopping cart and %2 of these conditions match:","Se um item estiver %1 no carrinho de compras e %2 destas condições sejam verdadeiras:"
"Items Quantity","Quantidade de Itens"
"Total shopping cart items quantity %1 %2:","Total da quantidade dos itens do carrinho %1 %2:"
"Virtual Only","Apenas Virtual"
